time_ms,sample_idx,ecg_v,ecg_ac_v,ppg,lead_off
833309,208276,1.6601,-0.1445,84072,0
833313,208277,1.6697,-0.1351,84041,0
833317,208278,1.6697,-0.1353,82671,0
833321,208279,1.6633,-0.1418,84115,0
833325,208280,1.6577,-0.1472,84115,0
833329,208281,1.6705,-0.1339,84150,0
833333,208282,1.6754,-0.1287,84150,0
833337,208283,1.6714,-0.1324,82822,0
833341,208284,1.6665,-0.1368,84178,0
833345,208285,1.6818,-0.1212,82850,0
833349,208286,1.6875,-0.1152,83726,0
833353,208287,1.681,-0.1213,83726,0
833357,208288,1.6794,-0.1225,82884,0
833361,208289,1.6923,-0.1093,84242,0
833365,208290,1.702,-0.0993,83005,0
833369,208291,1.6996,-0.1013,84238,0
833373,208292,1.6834,-0.1171,84238,0
833377,208293,1.6842,-0.1158,83066,0
833381,208294,1.7004,-0.0993,84267,0
833385,208295,1.7076,-0.0916,83135,0
833389,208296,1.6963,-0.1025,84277,0
833393,208297,1.6939,-0.1045,84277,0
833397,208298,1.7084,-0.0896,84277,0
833401,208299,1.706,-0.0916,84228,0
833405,208300,1.702,-0.0951,83307,0
833409,208301,1.6988,-0.0979,84318,0
833413,208302,1.7084,-0.0877,84318,0
833417,208303,1.7125,-0.0831,84324,0
833421,208304,1.6979,-0.0971,84324,0
833425,208305,1.6923,-0.1021,83438,0
833429,208306,1.6996,-0.0942,84346,0
833433,208307,1.7149,-0.0783,83477,0
833437,208308,1.7076,-0.0849,83465,0
833441,208309,1.6988,-0.093,83465,0
833445,208310,1.7028,-0.0883,83462,0
833449,208311,1.706,-0.0843,84398,0
833453,208312,1.7036,-0.0859,83544,0
833457,208313,1.6931,-0.0955,84426,0
833461,208314,1.6988,-0.0889,84426,0
833465,208315,1.7125,-0.0742,83533,0
833469,208316,1.71,-0.0756,84438,0
833473,208317,1.6923,-0.0923,83508,0
833477,208318,1.6867,-0.0967,84435,0
833481,208319,1.6996,-0.0826,84435,0
833485,208320,1.7092,-0.0717,84435,0
833489,208321,1.7036,-0.0761,84389,0
833493,208322,1.6923,-0.086,83441,0
833497,208323,1.702,-0.0749,84427,0
833501,208324,1.71,-0.0654,84427,0
833505,208325,1.7052,-0.0688,84388,0
833509,208326,1.6963,-0.0762,84388,0
833513,208327,1.7052,-0.0659,83338,0
833517,208328,1.7125,-0.0572,84276,0
833521,208329,1.7116,-0.0566,83294,0
833525,208330,1.7028,-0.0641,83652,0
833529,208331,1.6996,-0.0661,83652,0
833533,208332,1.7125,-0.0521,83213,0
833537,208333,1.7181,-0.0454,83907,0
833541,208334,1.7229,-0.0398,83243,0
833545,208335,1.7552,-0.007,83667,0
833549,208336,1.8084,0.0465,83667,0
833553,208337,1.8406,0.0787,83241,0
833557,208338,1.8277,0.0657,83440,0
833561,208339,1.8188,0.0566,83254,0
